question,label
배재대 카페 추천해 줘,S-LOCATION S-PLACE O O
배재대 고깃집 추천해 줘,S-LOCATION S-PLACE O O
배재대 삼겹살 추천해 줘,S-LOCATION S-PLACE O O
배재대 짜장면 추천해 줘,S-LOCATION S-PLACE O O
배재대 칼국수 추천해 줘,S-LOCATION S-PLACE O O
배재대 피자 추천해 줘,S-LOCATION S-PLACE O O
배재대 떡볶이 추천해 줘,S-LOCATION S-PLACE O O
배재대 짬뽕 추천해 줘,S-LOCATION S-PLACE O O
배재대 닭발 추천해 줘,S-LOCATION S-PLACE O O
배재대 돈가스 추천해 줘,S-LOCATION S-PLACE O O
배재대 횟집 추천해 줘,S-LOCATION S-PLACE O O
배재대 냉면 추천해 줘,S-LOCATION S-PLACE O O
배재대 아귀찜 추천해 줘,S-LOCATION S-PLACE O O
배재대 삼계탕 추천해 줘,S-LOCATION S-PLACE O O
배재대 콩국수 추천해 줘,S-LOCATION S-PLACE O O
배재대 중국집 추천해 줘,S-LOCATION S-PLACE O O
배재대 카페 어디 있냐,S-LOCATION S-PLACE O O
배재대 고깃집 어디 있냐,S-LOCATION S-PLACE O O
배재대 삼겹살 어디 있냐,S-LOCATION S-PLACE O O
배재대 짜장면 어디 있냐,S-LOCATION S-PLACE O O
배재대 칼국수 어디 있냐,S-LOCATION S-PLACE O O
배재대 피자 어디 있냐,S-LOCATION S-PLACE O O
배재대 떡볶이 어디 있냐,S-LOCATION S-PLACE O O
배재대 짬뽕 어디 있냐,S-LOCATION S-PLACE O O
배재대 닭발 어디 있냐,S-LOCATION S-PLACE O O
배재대 돈가스 어디 있냐,S-LOCATION S-PLACE O O
배재대 횟집 어디 있냐,S-LOCATION S-PLACE O O
배재대 냉면 어디 있냐,S-LOCATION S-PLACE O O
배재대 아귀찜 어디 있냐,S-LOCATION S-PLACE O O
배재대 삼계탕 어디 있냐,S-LOCATION S-PLACE O O
배재대 콩국수 어디 있냐,S-LOCATION S-PLACE O O
배재대 중국집 어디 있냐,S-LOCATION S-PLACE O O
